Team,Success_Rt,Success_Rt_Rk,IsoPPP,IsoPPP_Rk,Havoc,Havoc_Rk,Front_7_Havoc,Front_7_Havoc_Rk,DB_Havoc,DB_Havoc_Rk
Mississippi State,34.7%,11,1.07,20,20.3%,6,10.9%,28,9.3%,4
Michigan State,34.3%,8,1.06,17,20.7%,4,14.0%,2,6.7%,63
Clemson,33.3%,4,1.00,8,21.0%,3,13.6%,4,7.4%,32
Washington,38.3%,31,0.97,4,15.9%,65,7.9%,107,8.0%,17
LSU,37.6%,24,1.06,18,18.8%,21,9.7%,62,9.1%,6
Auburn,35.6%,14,1.24,97,17.9%,34,11.0%,26,6.9%,51
Alabama,34.3%,6,1.25,106,21.2%,2,12.6%,6,8.7%,10
Georgia,40.9%,63,0.96,3,15.6%,73,9.9%,58,5.7%,95
Michigan,33.1%,3,1.21,86,18.6%,23,11.9%,18,6.7%,63
Notre Dame,37.7%,25,1.00,9,17.3%,41,10.3%,44,7.1%,41
Penn State,37.5%,23,1.07,19,19.9%,8,12.1%,10,7.7%,21
Fresno State,34.3%,7,1.01,11,16.7%,52,8.8%,77,7.9%,19
California,37.2%,20,0.99,7,17.3%,41,10.4%,40,6.8%,59
Miami-FL,34.7%,10,1.11,34,24.2%,1,16.4%,1,7.8%,20
Kentucky,38.5%,33,1.11,33,19.8%,9,12.4%,8,7.5%,29
TCU,37.3%,22,1.14,52,16.8%,49,9.4%,68,7.5%,29
Florida,36.9%,17,1.17,68,18.7%,22,10.9%,28,7.7%,21
Iowa,39.9%,49,0.95,2,17.4%,39,10.7%,32,6.8%,59
Utah,35.9%,16,1.12,37,19.8%,9,13.1%,5,6.7%,63
Appalachian State,34.6%,9,1.04,13,18.3%,30,11.2%,23,7.1%,41
Texas A&M,37.9%,27,1.34,119,20.4%,5,12.1%,10,8.4%,13
Marshall,34.7%,12,1.16,64,18.9%,18,12.1%,10,6.8%,59
Northern Illinois,34.9%,13,1.15,56,16.3%,57,12.0%,13,4.3%,121
San Diego State,38.0%,28,1.10,32,15.5%,78,7.1%,117,8.4%,13
Missouri,39.8%,48,1.24,99,14.7%,92,8.4%,94,6.4%,73
Ohio State,38.6%,36,1.29,115,18.4%,26,12.2%,9,6.2%,83
Southern Miss,33.0%,2,1.16,67,18.5%,24,9.5%,64,8.9%,9
Iowa State,40.7%,61,1.07,24,17.0%,46,10.1%,54,6.9%,51
Wisconsin,39.9%,50,1.12,42,16.3%,57,9.8%,60,6.5%,70
Northwestern,40.6%,60,1.13,46,16.6%,54,10.3%,44,6.3%,78
Virginia,37.2%,21,1.16,62,19.0%,17,8.5%,87,10.5%,2
Boston College,39.9%,51,1.12,43,16.8%,49,10.3%,44,6.5%,70
BYU,41.7%,71,0.90,1,12.0%,123,8.4%,94,3.7%,125
USC,38.1%,29,1.22,90,17.9%,34,10.4%,40,7.5%,29
Utah State,36.9%,18,1.04,14,18.4%,26,9.2%,72,9.1%,6
Cincinnati,33.3%,4,1.19,77,18.9%,18,12.0%,13,6.9%,51
Florida State,39.2%,39,1.13,49,15.7%,71,10.1%,54,5.7%,95
Boise State,39.7%,46,1.20,82,16.6%,54,10.7%,32,5.9%,87
Minnesota,41.3%,68,1.24,101,16.0%,64,8.9%,76,7.1%,41
South Carolina,47.9%,120,1.02,12,14.2%,102,8.5%,87,5.7%,95
Wyoming,41.2%,65,0.98,6,16.5%,56,11.5%,20,5.0%,112
Temple,40.1%,55,1.01,10,15.6%,73,8.0%,105,7.6%,27
Stanford,42.7%,82,1.15,53,16.2%,61,9.0%,75,7.3%,34
Texas,43.1%,85,1.16,65,17.7%,37,8.5%,87,9.2%,5
UAB,32.7%,1,1.28,112,20.3%,6,14.0%,2,6.3%,78
Duke,39.7%,45,1.18,72,14.2%,102,7.8%,110,6.4%,73
Central Florida,39.7%,47,1.15,55,19.3%,13,11.1%,24,8.2%,15
Troy,39.6%,44,1.09,28,19.6%,11,12.0%,13,7.7%,21
Arkansas,45.7%,107,1.15,58,15.6%,73,12.0%,13,3.6%,126
Oregon,39.9%,51,1.15,57,18.1%,32,10.7%,32,7.4%,32
Maryland,42.7%,81,1.10,29,13.4%,113,5.8%,127,7.7%,21
Eastern Michigan,39.5%,41,0.98,5,15.8%,69,9.4%,68,6.3%,78
Pittsburgh,41.2%,66,1.24,100,17.5%,38,10.3%,44,7.3%,34
NC State,40.9%,62,1.23,91,18.2%,31,10.8%,31,7.3%,34
Nebraska,43.5%,90,1.16,66,16.2%,61,8.6%,81,7.6%,27
Louisiana Tech,39.0%,38,1.12,38,18.4%,26,9.7%,62,8.7%,10
Vanderbilt,46.9%,114,1.12,41,15.4%,81,8.3%,97,7.1%,41
Colorado,40.1%,54,1.12,39,14.5%,96,10.2%,52,4.2%,122
Washington State,41.3%,67,1.18,71,18.0%,33,11.4%,21,6.6%,66
Syracuse,38.6%,35,1.28,111,16.7%,52,10.4%,40,6.4%,73
Kansas State,47.2%,117,1.10,30,13.4%,113,7.7%,111,5.8%,92
Arkansas State,37.9%,26,1.31,117,19.3%,13,11.1%,24,8.2%,15
Nevada,38.2%,30,1.19,74,17.4%,39,10.3%,44,7.1%,41
Wake Forest,40.5%,58,1.17,70,14.8%,90,8.2%,101,6.6%,66
Tulane,37.0%,19,1.29,114,19.1%,16,9.4%,68,9.7%,3
Miami-OH,41.2%,64,1.08,25,15.5%,78,8.5%,87,7.1%,41
Rutgers,43.2%,86,1.12,45,15.4%,81,8.3%,97,7.1%,41
Middle Tennessee,38.4%,32,1.19,81,17.8%,36,10.6%,36,7.3%,34
Central Michigan,39.3%,40,1.07,23,15.9%,65,10.6%,36,5.3%,103
Army,41.5%,70,1.17,69,18.9%,18,8.1%,104,10.8%,1
Oklahoma State,41.8%,74,1.28,113,15.3%,84,10.0%,57,5.3%,103
Tennessee,47.0%,115,1.10,31,14.4%,98,8.6%,81,5.8%,92
Texas State,35.6%,15,1.16,61,14.6%,94,9.5%,64,5.1%,111
Arizona,41.5%,69,1.19,78,15.5%,78,8.5%,87,7.0%,50
Indiana,43.2%,88,1.20,84,15.1%,86,8.2%,101,6.9%,51
West Virginia,45.5%,104,1.15,59,19.4%,12,10.3%,44,9.1%,6
Virginia Tech,40.5%,59,1.39,125,14.6%,94,8.3%,97,6.2%,83
North Texas,38.5%,34,1.22,88,18.4%,26,10.7%,32,7.7%,21
SMU,41.8%,73,1.12,44,15.8%,69,10.4%,40,5.3%,103
South Florida,40.2%,56,1.23,94,15.0%,88,8.7%,78,6.2%,83
Texas Tech,43.0%,84,1.23,96,15.9%,65,7.9%,107,8.0%,17
Florida Atlantic,42.5%,77,1.19,76,14.2%,102,7.3%,116,6.9%,51
Buffalo,38.8%,37,1.15,54,15.9%,65,10.3%,44,5.6%,99
Oklahoma,47.4%,119,1.12,40,14.4%,98,8.5%,87,5.9%,87
Baylor,42.2%,75,1.35,122,14.0%,107,8.7%,78,5.3%,103
Arizona State,45.9%,110,1.09,27,17.0%,46,9.8%,60,7.3%,34
Memphis,40.4%,57,1.25,104,16.8%,49,10.9%,28,5.9%,87
Purdue,44.8%,101,1.13,50,12.1%,122,6.7%,122,5.4%,101
Akron,42.5%,76,1.07,22,15.4%,81,11.0%,26,4.5%,119
Ole Miss,46.9%,113,1.22,89,16.3%,57,9.5%,64,6.9%,51
Air Force,39.6%,43,1.34,118,15.2%,85,9.9%,58,5.3%,103
Georgia Southern,44.6%,100,1.05,15,15.6%,73,8.3%,97,7.3%,34
Western Kentucky,43.5%,90,1.13,48,16.2%,61,8.6%,81,7.7%,21
Kansas,45.4%,103,1.19,79,14.7%,92,8.6%,81,6.1%,86
North Carolina,42.5%,78,1.23,95,17.1%,45,11.4%,21,5.8%,92
Tulsa,43.2%,86,1.11,36,13.8%,109,8.4%,94,5.4%,101
UCLA,47.2%,118,1.13,47,13.8%,109,8.5%,87,5.3%,103
Charlotte,39.5%,42,1.25,105,16.3%,57,11.6%,19,4.7%,117
Louisville,51.1%,128,1.11,35,9.1%,130,6.2%,126,3.0%,130
Georgia Tech,49.8%,126,1.09,26,12.8%,119,5.8%,127,7.1%,41
East Carolina,39.9%,53,1.41,128,18.5%,24,12.0%,13,6.5%,70
Toledo,43.7%,93,1.23,93,17.3%,41,10.3%,44,7.1%,41
UTSA,42.7%,80,1.30,116,15.7%,71,8.6%,81,7.2%,40
San Jose State,44.3%,97,1.16,63,13.1%,117,6.8%,121,6.3%,78
Florida International,43.9%,94,1.07,21,15.1%,86,8.2%,101,6.9%,51
Houston,44.0%,95,1.14,51,15.6%,73,10.2%,52,5.3%,103
Ohio,43.2%,89,1.26,107,19.2%,15,10.6%,36,8.6%,12
UL-Monroe,46.0%,111,1.19,80,16.9%,48,10.6%,36,6.4%,73
New Mexico,45.6%,106,1.28,110,14.0%,107,7.6%,112,6.4%,73
Colorado State,48.5%,122,1.20,83,14.5%,96,7.9%,107,6.6%,66
UTEP,42.5%,79,1.21,87,14.1%,106,7.4%,113,6.6%,66
Western Michigan,41.7%,72,1.37,124,17.3%,41,12.6%,6,4.7%,117
New Mexico State,45.8%,109,1.15,60,13.1%,117,9.5%,64,3.6%,126
Navy,47.1%,116,1.24,98,10.6%,126,5.7%,129,4.8%,115
Illinois,49.3%,124,1.24,103,15.0%,88,9.1%,73,5.9%,87
UL-Lafayette,44.1%,96,1.19,75,12.0%,123,7.0%,118,4.9%,114
UNLV,42.9%,83,1.35,120,14.4%,98,9.4%,68,5.0%,112
Hawaii,44.4%,98,1.24,102,13.4%,113,8.6%,81,4.8%,115
Old Dominion,44.4%,98,1.23,92,14.8%,90,9.1%,73,5.7%,95
Ball State,50.3%,127,1.05,16,13.7%,111,10.1%,54,3.6%,126
Kent State,43.6%,92,1.27,108,12.4%,120,6.5%,123,5.9%,87
Liberty,45.8%,108,1.21,85,14.3%,101,7.4%,113,6.9%,51
South Alabama,45.5%,105,1.40,127,13.7%,111,7.4%,113,6.3%,78
Massachusetts,49.4%,125,1.35,121,12.4%,120,8.0%,105,4.5%,119
Rice,44.9%,102,1.36,123,13.2%,116,6.4%,124,6.8%,59
Oregon State,53.4%,129,1.27,109,11.1%,125,7.0%,118,4.0%,123
Georgia State,46.7%,112,1.43,129,10.0%,128,6.3%,125,3.8%,124
Bowling Green,48.7%,123,1.18,73,10.1%,127,4.9%,130,5.2%,110
Coastal Carolina,48.2%,121,1.39,126,14.2%,102,8.7%,78,5.5%,100
Connecticut,56.7%,130,1.50,130,10.0%,128,6.9%,120,3.1%,129
